Local_alignment_Tm	Gap_adjusted_end_filling_Tm
61.03	39.47
56.17	29.25
53.33	-11.55
51.16	-33.95
51.16	-30.07
51.16	-30.07
51.16	-72.41
51.16	-33.95
52.84	-76.15
51.16	-33.95
61.03	43.94
52.81	23.3
52.74	26.25
56.19	24.72
55.14	-41.16
55.65	-84.68
55.14	-41.16
55.14	-41.16
55.14	-52.69
55.14	-41.16
50.36	27.02
55.14	-57.22
55.14	-41.16
55.14	-41.16
55.14	-41.16
55.14	-41.16
56.92	-16.42
57.32	14.63
52.1	-250.16
52.1	-250.16
61.3	31.85
56.46	-20.6
52.1	-250.16
52.1	-250.16
53.19	-35.7
52.1	-250.16
52.1	-250.16
55.67	7.48
52.1	-250.16
53.19	-35.7
57.71	35.74
55.47	32.89
50.08	17.28
50.08	15
50.83	12.96
50.83	11.14
63.79	15.95
63.79	17.68
61.19	17.68
63.79	17.68
63.79	17.68
63.79	19.43
63.79	17.68
63.79	15.95
63.8	-6.28
63.8	-6.28
63.79	17.68
63.79	17.68
61.19	17.68
63.79	15.95
63.79	17.68
61.19	17.68
63.79	15.95
63.8	-6.28
63.79	15.95
62.68	10.55
58	17.17
58	36.22
58	17.17
58	18.88
58	18.88
58	18.88
54.34	-14.39
61.54	18.4
62.68	12.47
62.68	12.47
62.68	13.54
58	18.88
58	17.17
58	18.88
58	17.17
58	17.17
61.19	15.95
61.19	17.68
62.68	19.41
58	18.88
58	18.88
62.14	26.35
59.52	-21.36
63.79	15.95
63.79	15.95
56.25	4.25
56.25	4.25
56.25	4.25
56.25	4.25
56.25	-17.44
56.25	-17.44
59.3	34.16
53.84	31.2
54.74	32.61
53.4	19.2
54.93	-47.45
61.79	-127.63
56.67	7.81
56.67	7.81
58.03	-73.45
61.79	-127.63
52.87	38.32
57.52	28.81
50.83	18.03
50.83	17
61.79	-133.72
58.03	-77.15
61.79	-133.72
54.73	39.47
56.96	-0.23
57.52	25.02
50.08	18.5
57.6	32
46.94	-69.66
48.53	-54.42
59.27	-31.69
42.29	15.47
42.6	-80.43
54.24	21.01
54.26	-32.08
54.23	25.56
54.48	10.61
54.09	-37.39
51.28	-8.48
59.76	51.96
56.13	-25.58
59.14	-2.4
53.84	35.78
54.74	27.25
53.4	21.05
54.93	-30.68
57.08	-9.22
49.27	24.92
46.78	-65.65
53.84	35.18
54.24	-7.35
54.74	29.41
54.93	-25.03
59.78	-35.19
53.4	29.32
57.08	-14.26
61.79	-153.3
56.67	4.19
56.67	4.19
58.03	-88.73
61.79	-153.3
52.87	39.03
57.52	29.85
52.62	-43.54
53.95	-14.07
54.26	24.58
56.13	27.39
54.26	24.58
47.04	18.4
54.04	30.14
50.87	-14.84
58.03	-42.32
60.7	-112.11
56.96	9.07
60.7	-112.11
57.52	32.07
54.04	30.71
50.87	-10.44
53.97	29.75
54.38	34.43
53.97	29.75
48.92	26.9
49.69	16.04
58.05	-4.5
52.28	13.48
54.1	26.59
55.97	13.9
51.49	-118.15
62.94	20.18
57.51	11.85
57.51	11.85
55.94	22.48
55.94	21.25
57.51	18.08
57.51	11.85
55.94	21.25
54.85	-50.14
54.85	-47.55
55.94	21.25
55.47	33.51
54.85	-47.55
54.85	-50.14
55.94	21.25
54.85	-41.97
54.85	-47.55
57.51	14.47
56.6	27.49
54.85	-47.55
54.85	-41.97
48.26	13.56
53.09	-66.57
53.44	-33.54
50.91	-35.64
54.61	-20.26
52.06	31.2
50.73	27.75
50.73	27.75
50.73	27.75
50.73	27.75
49.84	-6.18
49.84	-6.18
49.84	-6.18
49.84	-6.18
52.81	23.42
52.74	20.08
56.19	28.64
55.65	-51.14
50.36	21.15
50.32	-21.02
50.32	-21.02
52.81	23.52
52.74	20.09
56.19	27.7
50.36	21.18
55.65	-62.44
50.32	-22.52
50.32	-22.52
57.28	-46.12
53.76	20.33
53.81	42.25
52.06	31.07
57.08	-17.45
63.52	35.86
55.73	21.86
55.73	21.86
58.91	27.82
54.45	39.43
57.07	-10.13
54.32	34.84
56.49	32.78
52.42	23.34
52.04	19.99
55.05	-0.08
58.87	-41.95
52.06	34.72
53.81	40.15
54.24	15.75
54.26	-56.04
53.04	21.66
51.89	-26.73
53.1	21.35
53.1	21.35
56.17	27.23
56.57	35.6
58.57	36.57
58.57	36.57
58.14	13.15
52.04	26.38
56.49	30.2
51.06	-57.77
51.27	32.95
52.9	13.8
52.9	13.8
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.31	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
51.27	32.95
52.72	33.51
53.19	-18.58
54.32	39.59
57.59	-5.35
53.4	28.33
54.85	-53.95
54.85	-45.15
55.47	31.86
54.85	-45.15
54.85	-53.95
54.85	-45.39
54.85	-45.15
54.85	-45.15
54.85	-45.39
57.51	17.65
57.51	17.65
55.94	27.57
55.94	21.28
57.51	18.04
57.51	17.65
55.94	21.28
54.85	-53.98
55.94	21.28
55.47	32.89
54.85	-53.98
54.85	-53.98
55.94	21.28
54.85	-45.09
54.85	-53.98
57.51	18.04
54.85	-53.98
54.85	-53.98
54.85	-45.09
57.84	-34.76
50.83	13.7
50.83	11.94
57.59	-1.27
53.4	30.6
58.27	39.23
58.93	39.34
62.52	35.17
63.97	-0.2
50.08	14.86
53.76	17.51
56.63	-46.12
53.1	21.19
53.1	21.19
53.1	21.19
51.85	7.75
52.72	32.67
53.19	-29.43
54.32	41.24
63.79	15.29
63.79	17.01
63.85	19.93
63.79	17.01
63.79	17.01
63.79	18.78
63.79	17.01
63.79	15.29
63.8	-7.02
63.8	-7.02
63.79	17.01
63.79	17.01
61.19	14.35
63.79	15.29
63.79	17.01
61.19	17.01
63.79	15.29
63.8	-7.02
63.79	15.29
62.68	9.86
58	16.49
58	37.45
58	16.49
58	18.21
61.58	26.52
58	18.21
54.34	-15.17
61.54	17.71
65.29	36.21
62.68	11.78
62.68	11.78
62.68	12.86
58	18.21
58	16.49
58	17.95
58	16.49
58	16.49
61.19	12.57
61.19	17.01
62.68	18.76
58	15.55
62.14	25.72
59.52	-22.19
63.79	15.29
63.79	15.29
58.09	13.49
56.57	-9.68
56.25	3.33
56.25	3.33
56.25	3.33
56.25	3.33
56.25	-18.2
56.25	-18.2
54.36	4.22
53.97	23.01
54.38	40.95
54.36	4.34
53.97	23.01
47.12	18.49
52.62	-32.38
56.49	34.53
53.82	-51.11
46.94	-65.06
59.27	-29.5
42.29	11.23
42.6	-75.21
56.49	32.87
52.42	22.72
59.3	35.84
52.62	-48.61
56.49	30.95
53.1	24.21
53.1	24.21
53.1	24.21
55.47	33.17
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
51.27	33.58
