Local_alignment_Tm	Gap_adjusted_end_filling_Tm
53.15	48.81
44.13	38.47
44.13	33.81
41.71	32.93
41.71	32.34
41.71	32.34
41.71	31.06
41.71	32.34
41.71	35.91
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	36.84
41.71	35.91
44.13	39.37
41.71	31.06
53.03	42.46
44.13	33.81
44.13	33.81
44.13	33.81
41.71	32.34
41.71	36.84
41.71	35.91
41.71	31.06
41.71	31.06
41.71	31.06
41.71	34.55
41.71	32.34
41.71	31.06
41.71	35.91
48.32	41.01
41.71	31.06
41.71	36.84
41.71	36.84
41.71	31.06
44.13	33.81
41.71	31.06
41.71	32.34
41.71	31.06
52.01	42.91
41.71	32.34
41.71	32.34
44.13	33.81
41.71	32.34
41.71	32.34
44.13	33.81
41.71	32.34
41.71	35.91
41.71	31.06
41.71	31.06
41.71	32.34
41.71	31.06
41.71	32.34
41.71	32.34
41.71	32.34
41.71	35.91
41.71	35.91
50.67	36.82
48.64	42.6
41.71	31.06
41.71	31.06
41.71	31.06
41.71	35.91
41.71	31.06
41.71	31.06
41.71	31.06
41.71	36.84
41.71	36.84
41.71	31.06
41.71	35.91
41.71	32.34
47.27	34.98
43.14	32.52
43.2	32.1
43.46	35.38
43.46	35.38
41.71	32.34
41.71	32.34
44.13	38.47
41.71	32.34
41.71	34.55
41.71	31.06
41.71	32.34
41.71	32.34
41.71	32.34
41.71	31.06
41.71	34.55
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	31.06
47.27	34.98
38.57	27.9
47.27	34.98
47.27	34.98
41.71	33.16
41.71	31.06
41.71	36.84
41.71	31.06
41.71	32.34
41.71	31.06
44.13	33.81
41.71	31.06
41.71	35.91
41.71	31.06
41.71	34.55
41.71	31.06
41.71	32.34
41.71	32.34
44.13	39.37
41.71	31.06
47.27	39.43
49.1	41.44
50.94	40.28
37.25	30.64
52.01	44.91
41.71	31.06
41.71	34.55
41.71	31.06
41.71	32.34
41.71	32.34
41.71	31.06
41.71	31.06
41.71	32.34
41.2	31.31
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	35.91
41.71	35.91
41.71	32.34
44.13	38.47
41.71	31.06
41.71	32.34
41.71	35.91
41.71	34.55
41.71	32.34
41.71	32.34
41.71	34.55
41.71	32.34
41.71	35.91
44.13	35.07
44.13	35.07
41.71	31.06
41.71	31.06
41.71	35.91
41.71	32.34
41.71	32.34
41.71	32.34
41.71	32.34
41.71	31.06
41.71	32.34
41.71	32.34
44.13	33.81
41.71	31.06
41.71	32.34
48.64	45.13
41.71	32.34
41.71	35.91
41.71	33.13
44.13	35.07
44.13	35.07
41.71	32.34
41.71	32.34
41.71	32.34
44.13	35.07
41.71	31.06
41.71	36.84
41.71	31.06
41.71	35.91
41.71	36.84
41.71	32.34
41.71	32.34
44.13	35.07
41.71	31.06
41.71	32.34
41.71	32.34
41.71	31.06
41.71	32.34
41.71	31.06
41.71	32.34
41.71	32.34
41.71	31.06
41.71	32.34
41.71	35.91
41.71	32.34
41.71	32.34
41.71	31.06
41.71	31.06
41.71	31.06
41.71	31.06
41.71	31.06
41.71	32.34
36.49	16.66
37.71	36.05
37.71	36.05
37.71	36.05
37.71	20.68
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	36.05
37.71	20.68
37.71	36.05
37.71	36.05
37.71	36.05
35.85	25.23
27.72	5.32
32.81	20.61
32.72	8.45
62	62.3
62.34	62.29
62.34	62.29
62.34	62.29
